37.271881,-119.270233,Adventure City,1
33.601349,-117.901131,Balboa Fun Zone,1
37.271881,-119.270233,Belmont Park,1
37.271881,-119.270233,Boomers/Camelot/Family Fun Centers,1
37.271881,-119.270233,Castle Amusement Park,1
37.271881,-119.270233,Children s Fairyland,1
33.80637,-117.920631,Disneyland/Disney s California Adventure,1
37.271881,-119.270233,Fairytale Town,1
37.271881,-119.270233,Funderland,1
37.32687,-121.898003,Gilroy Gardens Theme Park,1
38.167098,-122.252657,Great America,1
37.271881,-119.270233,Knott s Berry Farm,1
37.271881,-119.270233,Legoland,1
37.271881,-119.270233,Mountasia Family Fun Center,1
38.371059,-121.960991,Nut Tree Family Park,1
34.188438,-118.351471,Pacific Park,1
37.271881,-119.270233,Pharaohs Lost Kingdom,1
37.809662,-122.410408,Pier 39,1
37.429205,-122.251688,Pixie Woods,1
37.271881,-119.270233,Pixieland Amusement Park,1
37.271881,-119.270233,Rotary Storyland & Playland,1
36.96413,-122.020073,Santa Cruz Beach Boardwalk,1
37.271881,-119.270233,Scandia Amusement Park,1
37.271881,-119.270233,SeaWorld,1
41.901196,-89.390227,Six Flags Discovery Kingdom,1
48.686155,-97.862104,Six Flags Magic Mountain,1
38.485771,-122.852501,Sonoma Traintown,1
34.724526,-85.972693,Studio Park Hollywood,1
37.271881,-119.270233,Trees of Mystery,1
34.13394,-118.352014,Universal Studios Hollywood,1
38.01582,-121.819702,Antioch Waterpark,2
43.289768,-72.79303,The Island Waterpark,2
33.8286,-102.027684,Knotts Soak City USA - Orange County,2
33.823215,-116.512114,Knotts Soak City USA - Palm Springs,2
32.587021,-117.009819,Knotts Soak City USA - San Diego,2
37.799198,-121.233124,Manteca Waterslides,2
37.271881,-119.270233,Mustang Waterslides,2
37.271881,-119.270233,Outrageous Waters,2
37.271881,-119.270233,Raging Waters,2
37.271881,-119.270233,Sengme Oaks Family WaterPark,2
37.50206,-122.202698,Six Flags Hurricane Harbor,2
37.271881,-119.270233,Waterworld,2
37.271881,-119.270233,Waterworld USA,2
37.271881,-119.270233,The Wave,2
34.010033,-117.468559,Wild Rivers,2
36.80621,-119.581467,Wild Water Adventures,2
38.17472,-121.274454,Forest Lake Golf Course,Acampo,3
37.766585,-122.244739,Chuck Corica Golf Complex,Alameda,3
34.0937,-118.127269,Alhambra Municipal Golf Course,Alhambra,3
33.57036,-117.705939,Aliso Viejo Golf Club,Aliso Viejo,3
33.83276,-117.915719,Dad Miller Golf Course,Anaheim,3
33.83276,-117.915719,Anaheim Hills Public Country Club,Anaheim,3
38.711999,-121.364354,Antelope Greens Golf Course,Antelope,3
37.92638,-121.803307,3 Club At Roddy Ranch,The,Antioch,3
37.967588,-121.797453,Lone Tree Golf Course,Antioch,3
34.523211,-117.215742,Jess Ranch Golf Course,Apple Valley,3
36.975665,-121.886291,Aptos Seascape Golf Course,Aptos,3
34.136165,-118.038854,Arcadia Golf Course,Arcadia,3
34.136165,-118.038854,Santa Anita Golf Course,Arcadia,3
35.070107,-120.578058,Cypress Ridge,Arroyo Grande,3
35.209027,-118.828986,Sycamore Canyon Golf Course,Arvin,3
35.488695,-120.669064,Chalk Mountain Golf Course,Atascadero,3
34.13361,-117.905879,Azusa Greens Country Club,Azusa,3
35.36697,-119.018863,James C. Haggerty North Kern Golf Course,Bakersfield,3
35.36697,-119.018863,Kern River Golf Course,Bakersfield,3
35.366959,-119.01886,Links At River Lakes Ranch,The,Bakersfield,3
35.36697,-119.018863,Valle Grande Golf Course,Bakersfield,3
33.929375,-116.975059,Oak Valley Golf Club,Beaumont,3
37.869885,-122.270539,Tilden Park Golf Course,Berkeley,3
33.610395,-114.598849,Blythe Golf Course,Blythe,3
32.67414,-117.017312,Bonita Golf Club,Bonita,3
32.67414,-117.017312,Chula Vista Golf Course,Bonita,3
33.917421,-117.888215,Birch Hills Golf Course,Brea,3
33.917421,-117.888215,Imperial Golf Course,Brea,3
36.042137,-86.776103,Brentwood Country Club,Brentwood,3
37.934055,-121.692719,Shadow Lakes Golf Club,Brentwood,3
34.18147,-118.308124,De Bell Municipal Golf Course -Regulation,Burbank,3
35.12894,-117.985629,Tierra Del Sol Golf Club  City,3
33.991915,-117.039959,Calimesa Country Club,Calimesa,3
39.802391,-75.165688,Pga Of Southern California At Oak Valley,Calimesa,3
34.2048,-118.984109,Camarillo Springs Golf Course,Camarillo,3
34.243806,-119.089639,Sterling Hills Golf Club,Camarillo,3
38.73836,-120.666079,Apple Mountain Golf Resort,Camino,3
38.73836,-120.666079,Apple Mountain Golf Resort,Camino,3
33.165887,-117.338225,Rancho Carlsbad Country Club,Carlsbad,3
52.223418,-105.352852,Rancho Canada Golf Club,Carmel,3
38.625205,-121.328399,Ancil Hoffman Golf Course,Carmichael,3
33.831612,-118.262123,Dominguez Golf & Practice Center,Carson,3
33.83161,-118.262119,Victoria Golf Course,Carson,3
33.781015,-116.464079,Cimarron Golf Club,Cathedral City,3
37.59476,-120.956299,River Oaks Golf Course,Ceres,3
39.77784,-121.77182,Bidwell Park Golf Course,Chico,3
34.012811,-117.689328,El Prado Golf Courses,Chino,3
33.962771,-117.694727,Los Serranos Golf & Country Club,Chino Hills,3
37.123195,-120.259619,Pheasant Run Golf Course,Chowchilla,3
33.20204,-117.233962,Auld Course,The,Chula Vista,3
32.617045,-117.058419,Eastlake Country Club,Chula Vista,3
34.071735,-117.323309,Colton Golf Club,Colton,3
35.662913,-91.848972,Diablo Creek Golf Course,Concord,3
33.877895,-117.575039,Cresta Verde Golf Club,Corona,3
33.877895,-117.575039,Green River Golf Club ,Corona,3
33.877895,-117.575039,Mountain View Country Club,Corona,3
32.676235,-117.170959,Coronado Golf Course,Coronado,3
37.213591,-121.736242,Coyote Creek,Coyote,3
37.31884,-122.029244,Deep Cliff Golf Course,Cupertino,3
33.824345,-118.037489,Seal Beach Navy Golf Course -Destroyer,Cypress,3
38.546644,-121.744807,Davis Golf Course,Davis,3
33.9614,-116.510729,Desert Dunes Golf Course,Desert Hot Springs,3
33.999257,-117.831459,Diamond Bar Golf Course,Diamond Bar,3
33.940035,-118.128234,Los Amigos Country Club,Downey,3
33.940035,-118.128234,Rio Hondo Golf Club,Downey,3
32.746349,-116.938619,Cottonwood At Rancho San Diego,El Cajon,3
38.677049,-121.07781,El Dorado Hills Golf Course,El Dorado Hills,3
38.70969,-121.44573,Cherry Island Golf Course,Elverta,3
33.045436,-117.292518,Encinitas Ranch Golf Course,Encinitas,3
34.164971,-118.525809,Sepulveda Golf Complex,Encino,3
33.12316,-117.082169,Eagle Crest Golf Club,Escondido,3
33.123161,-117.082169,Vineyard At Escondido,The,Escondido,3
40.803255,-124.159554,Eureka Municipal Golf Course,Eureka,3
38.300015,-122.032719,Paradise Valley Golf Course,Fairfield,3
38.289815,-122.074752,Rancho Solano Golf Course,Fairfield,3
33.384659,-117.253124,Fallbrook Golf Club,Fallbrook,3
34.10205,-117.435759,Sierra Lakes Golf Course,Fontana,3
33.70907,-117.950664,David L. Baker Memorial Golf,Fountain Valley,3
45.390655,-63.201774,Mile Square Golf Course,Fountain Valley,3
36.740685,-119.785734,Airways Golf Course,Fresno,3
36.740685,-119.785734,Palm Lakes Golf Course,Fresno,3
36.740685,-119.785734,Riverside Golf Course Of Fresno,Fresno,3
33.870325,-117.929104,Coyote Hills Golf Course,Fullerton,3
33.886852,-117.891509,Fullerton Golf Course,Fullerton,3
38.252745,-121.300814,Dry Creek Ranch Golf Course,Galt,3
37.004385,-121.571669,Eagle Ridge Golf Club,Gilroy,3
33.538582,-112.186279,Scholl Canyon Golf & Tennis Club,Glendale,3
34.435682,-119.824105,Sandpiper Golf Course,Goleta,3
39.766467,-120.618865,Plumas Pines Golf Resort,Graeagle,3
34.26394,-118.497943,Knollwood Golf Course,Granada Hills,3
37.667795,-122.119404,Skywest Golf Course,Hayward,3
33.6748,-116.983694,Diamond Valley Golf Club,Hemet,3
33.74937,-116.967889,Seven Hills Golf Club,Hemet,3
36.852535,-121.403259,San Juan Oaks Golf Club,Hollister,3
46.9193,-104.006124,Meadowlark Golf Course,Huntington Beach,3
33.721702,-116.219425,Indio Golf Club,Indio,3
33.721702,-116.219425,Landmark Golf Club,Indio,3
38.35238,-120.933249,Castle Oaks Golf Club,Ione,3
33.686887,-117.825348,El Toro Golf Course,Irvine,3
33.686887,-117.825348,Oak Creek Golf Club,Irvine,3
33.686887,-117.825348,Rancho San Joaquin Golf Course,Irvine,3
33.649572,-117.796291,Strawberry Farms Golf Club,Irvine,3
36.72856,-120.060269,Fresno West Golf Course,Kerman,3
32.842592,-117.272276,Torrey Pines Municipal Golf Course,La Jolla,3
33.90707,-118.011719,La Mirada Golf Club,La Mirada,3
33.67814,-116.297229,Palm Royale Country Club,La Quinta,3
34.112905,-117.765259,Marshall Canyon Golf Club,La Verne,3
40.287735,-121.145833,Bailey Creek Golf Course,Lake Almanor,3
36.333128,-92.096778,Lake Elizabeth Golf Club,Lake Elizabeth,3
33.125309,-117.210533,Lake San Marcos Resort & Executive Golf Course,Lake San Marcos,3
